Sending_Country,Receiving_Country,Year,Value,Unit,Source,Region,Sending_Country_Code,Receiving_Country_Code,Sending_Country_GDP,Receiving_Country_GDP,Sending_Country_GDP_Per_Capita,Receiving_Country_GDP_Per_Capita
Algeria,Senegal,2021,0.183414825,USD millions,BCEAO,Africa,DZA,SEN,199488.8881514849,24359.596784117,4456.746876,1414.539511
Australia,Ethiopia,2020,13.59617511,USD millions,National Bank of Ethiopia,Africa,AUS,ETH,1491062.56626652,95071.77581198268,58132.79852,799.4755953
Australia,Kenya,2024,"184,497.099695719",USD millions,Central Bank of Kenya,Africa,AUS,KEN,1665257.959985,104575.203135656,61211.89676,1853.087855
Australia,Uganda,2022,22,USD millions,Bank of Uganda,Africa,AUS,UGA,1587133.48080453,44147.216889624,61009.80771,933.0940564
Austria,Kenya,2024,"13,169.065145833",USD millions,Central Bank of Kenya,Africa,AUT,KEN,418190.370366673,104575.203135656,45562.04069,1853.087855
Bahamas,Kenya,2024,"1,453.632639905",USD millions,Central Bank of Kenya,Africa,BHS,KEN,13630.9359770689,104575.203135656,33968.38634,1853.087855
Bahrain,Kenya,2024,"5,004.769090469",USD millions,Central Bank of Kenya,Africa,BHR,KEN,41172.7091226258,104575.203135656,25916.46416,1853.087855
Bahrain,Morocco,2020,30.3408085,USD millions,Bank Al-Maghrib,Africa,BHR,MAR,34724.7741043146,114775.951852213,23586.93096,3090.894287
Belgium,Kenya,2024,"22,844.654997935",USD millions,Central Bank of Kenya,Africa,BEL,KEN,532530.656429071,104575.203135656,44837.72427,1853.087855
Belgium,Morocco,2020,387.629403,USD millions,Bank Al-Maghrib,Africa,BEL,MAR,470417.598101755,114775.951852213,40769.02181,3090.894287
Belgium,Senegal,2021,88.247787762,USD millions,BCEAO,Africa,BEL,SEN,499619.240040636,24359.596784117,43121.94297,1414.539511
Benin,Senegal,2021,25.846190336,USD millions,BCEAO,Africa,BEN,SEN,15779.238957311702,24359.596784117,1176.377276,1414.539511
Brazil,Senegal,2021,29.312422216,USD millions,BCEAO,Africa,BRA,SEN,1843881.1199202,24359.596784117,8799.229458,1414.539511
Burkina Faso,Senegal,2021,35.216150094,USD millions,BCEAO,Africa,BFA,SEN,16396.8501825889,24359.596784117,745.4725634,1414.539511
Cameroon,Senegal,2021,43.126214245,USD millions,BCEAO,Africa,CMR,SEN,38854.942334576896,24359.596784117,1443.576002,1414.539511
Canada,Ethiopia,2020,33.89159808,USD millions,National Bank of Ethiopia,Africa,CAN,ETH,1611126.16562503,95071.77581198268,42366.12854,799.4755953
Canada,Kenya,2024,"130,812.76972775",USD millions,Central Bank of Kenya,Africa,CAN,KEN,1833284.62168446,104575.203135656,44401.71539,1853.087855
Canada,Morocco,2020,99.802037,USD millions,Bank Al-Maghrib,Africa,CAN,MAR,1611126.16562503,114775.951852213,42366.12854,3090.894287
Canada,Senegal,2021,2.866648143,USD millions,BCEAO,Africa,CAN,SEN,1706996.67967769,24359.596784117,44639.19327,1414.539511
Canada,Uganda,2022,82.1,USD millions,Bank of Uganda,Africa,CAN,UGA,1778503.389905,44147.216889624,45677.68658,933.0940564
Central African Republic,Senegal,2021,11.097456712,USD millions,BCEAO,Africa,CAF,SEN,2024.49702649048,24359.596784117,396.0206229,1414.539511
Chad,Senegal,2021,8.390086853,USD millions,BCEAO,Africa,TCD,SEN,15284.0054061652,24359.596784117,857.2902943,1414.539511
China,Kenya,2024,"5,981.681937719",USD millions,Central Bank of Kenya,Africa,CHN,KEN,18488114.8377693,104575.203135656,13121.67699,1853.087855
China,Senegal,2021,0.358772173,USD millions,BCEAO,Africa,CHN,SEN,16199162.8929086,24359.596784117,11469.57071,1414.539511
China,Uganda,2022,7,USD millions,Bank of Uganda,Africa,CHN,UGA,16706875.2536485,44147.216889624,11830.59837,933.0940564
"Congo, Dem. Rep.",Uganda,2022,21,USD millions,Bank of Uganda,Africa,COD,UGA,52355.4947157899,44147.216889624,511.2992673,933.0940564
"Congo, Rep.",Senegal,2021,61.407592705,USD millions,BCEAO,Africa,COG,SEN,10027.2616697995,24359.596784117,1701.790605,1414.539511
Côte d'Ivoire,Kenya,2024,"4,351.233359615",USD millions,Central Bank of Kenya,Africa,CIV,KEN,76346.66796511861,104575.203135656,2390.747106,1853.087855
Côte d'Ivoire,Senegal,2021,89.989410749,USD millions,BCEAO,Africa,CIV,SEN,63620.99243848179,24359.596784117,2146.476353,1414.539511
Denmark,Morocco,2020,28.261131,USD millions,Bank Al-Maghrib,Africa,DNK,MAR,326176.991232295,114775.951852213,55934.55559,3090.894287
Denmark,Senegal,2021,5.476232008,USD millions,BCEAO,Africa,DNK,SEN,350255.593092935,24359.596784117,59803.92022,1414.539511
Djibouti,Ethiopia,2020,185.47649889,USD millions,National Bank of Ethiopia,Africa,DJI,ETH,3065.13571311422,95071.77581198268,2773.406618,799.4755953
Egypt,Kenya,2024,"2,710.849916951",USD millions,Central Bank of Kenya,Africa,EGY,KEN,482189.779212632,104575.203135656,4137.609292,1853.087855
